,No,Heating,Cooling,,SL,
1,1,5962.394113,1291583.143,,20257.21,63.75918219
2,2,2940.50812,755811.9441,,14700.72,51.41326031
3,3,2734.637224,979957.431,,18399.39,53.26032173
4,4,866.5499813,1349287.413,,22916.58,58.87821887
5,5,11738.46526,966848.3568,,15739.6,61.42775908
6,6,305.7008035,1080491.121,,19589.72,55.15602678
7,7,2917.636854,1300268.19,,27171.59,47.85396033
8,8,4667.323511,697042.4476,,12927.87,53.91781071
9,9,4829.787821,899879.7902,,16405.93,54.85088564
10,10,493.3369936,1169682.511,,23267.12,50.27190778
11,11,3005.275382,1267913.364,,24688.57,51.35629014
12,12,733.3258729,1031554.837,,18608.51,55.43457467
13,13,2301.058859,379938.4016,,9276.68,40.95629057
14,14,518.4010628,1091146.679,,16976.44,64.27417521
15,15,965.5382141,738626.57,,11109.44,66.48639085
16,16,8198.791956,1012986.252,,17443.11,58.07371805
17,17,9469.694617,603058.8921,,11313.69,53.30346616
18,18,104.1826174,557165.6384,,10893.86,51.14492369
19,19,176.6475836,964225.4328,,18340.54,52.57344837
20,20,910.2645336,1018911.535,,20141.86,50.58676483
21,21,532.8395007,693158.8498,,14536.23,47.6849121
22,22,1855.044635,891499.3187,,16745.98,53.23661671
23,23,1285.835682,484022.422,,9114.81,53.10285371
24,24,1964.553203,1524705.124,,25062.95,60.83502237
25,25,723.9872421,976379.2881,,15947.48,61.2246755
26,26,5444.062746,1164645.543,,25468.45,45.72895261
27,27,1235.250013,1051335.5,,20545.28,51.17163164
28,28,2970.972242,676620.8572,,13297.89,50.88182089
29,29,211.0205801,1569553.925,,25938.12,60.51147597
30,30,577.9122446,438767.5219,,8897.82,49.31180018
31,31,9054.107743,1233987.28,,21683.8,56.90825778
32,32,4008.964998,603775.8476,,10135.16,59.57240415
33,33,2851.362154,1568661.273,,28099.57,55.82509885
34,34,394.0202272,561996.7823,,9554.86,58.81789815
35,35,2731.178374,408641.5395,,8064.8,50.66976732
